동,경사도,자전거도로길이,총거치대수,총대여수,인구,면적,지하철역개수,버스정거장개수,스타벅스매장수
부암동,-150.3404,2971.6132075471696,55.0,8275.0,10551,2.27,0,34,0
북가좌1동,-23.3311,2971.6132075471696,158.0,81759.0,19160,0.55,0,12,0
북가좌2동,-30.3938,2971.6132075471696,73.0,65465.0,33810,0.84,0,22,0
북아현동,-53.6243,2971.6132075471696,61.0,20017.0,17525,0.46,1,19,1
불광1동,-171.1831,2971.6132075471696,92.0,57282.0,40917,3.13,2,38,1
불광2동,-80.954,2971.6132075471696,47.0,22033.0,29552,1.38,1,29,0
사근동,-22.8211,3644.0,50.0,15228.0,13543,1.1,2,21,2
사당1동,-18.7344,4059.0,102.0,43120.0,24026,0.79,1,12,2
사당2동,-32.0488,5518.0,50.0,24830.0,28290,2.75,1,27,0
사당3동,-54.0408,1762.0,62.0,24080.0,26034,0.92,1,26,1
사당4동,-28.3723,2971.6132075471696,0.0,0.0,14921,0.38,0,3,0
사당5동,-52.8901,2971.6132075471696,10.0,3314.0,12886,0.57,0,25,0
사직동,-38.6793,1180.0,134.0,101397.0,9815,1.23,2,31,7
삼각산동,-59.6836,2971.6132075471696,25.0,4406.0,32900,0.62,0,22,1
삼선동,-43.9661,252.0,55.0,42145.0,26013,0.92,0,41,1
삼성1동,-21.6139,10379.0,155.0,96339.0,14920,1.94,2,30,9
삼성2동,-33.8038,2971.6132075471696,35.0,18138.0,30674,1.24,2,22,5
삼성동,-132.8473,544.0,30.0,8194.0,25226,2.66,0,31,0
삼양동,-66.0186,2971.6132075471696,20.0,7415.0,25537,0.91,3,33,0
삼전동,-14.0758,8341.0,49.0,55667.0,32613,0.95,1,12,1
삼청동,-106.5445,837.0,72.0,37505.0,2997,1.49,0,15,1
상계10동,-27.4981,4300.0,20.0,29674.0,16619,0.8,0,23,1
상계1동,-179.4844,4384.0,98.0,51495.0,40121,5.62,1,32,0
상계2동,-29.8419,5871.0,70.0,106008.0,21220,0.61,1,26,1
상계3·4동,-180.6368,2971.6132075471696,41.0,20089.0,25818,5.62,1,19,0
상계5동,-67.3376,2455.0,75.0,50191.0,25483,0.44,1,29,0
상계6·7동,-24.0934,12792.0,111.0,113133.0,34648,1.11,0,32,3
상계8동,-26.0031,6894.0,15.0,862.0,23953,0.67,0,14,0
상계9동,-58.377,4325.0,19.0,27548.0,21919,0.81,1,19,0
상도1동,-84.6084,599.0,62.0,12383.0,48153,1.51,2,43,3
상도2동,-46.7362,1557.0,88.0,32879.0,29270,0.98,1,36,0
상도3동,-54.3228,2971.6132075471696,0.0,0.0,26041,0.6,0,34,1
상도4동,-63.0299,2971.6132075471696,7.0,7439.0,29893,0.75,0,34,0
상봉1동,-32.603,356.0,60.0,54026.0,25499,0.85,2,14,1
상봉2동,-18.6654,595.0,64.0,82320.0,19844,0.68,0,17,2
상암동,-22.9013,34644.0,419.0,245503.0,32882,8.4,1,88,5
상일동,-32.514,9646.0,92.0,18393.0,10773,2.65,0,36,0
서강동,-19.5893,7418.0,65.0,97225.0,26163,1.45,2,60,2
서교동,-18.1224,2971.6132075471696,130.0,199889.0,25997,1.65,3,76,12
서림동,-85.0578,3313.0,55.0,42224.0,24339,0.99,0,22,0
서빙고동,-14.4033,12590.0,35.0,31009.0,14102,2.8,1,21,1
서원동,-48.1321,1855.0,27.0,19393.0,24068,0.65,0,20,1
서초1동,-32.4724,3540.0,130.0,47047.0,21579,1.42,2,34,4
서초2동,-25.1365,1314.0,32.0,24126.0,18837,1.24,0,45,4
서초3동,-52.9027,1428.0,64.0,26532.0,30951,2.93,1,71,6
서초4동,-20.4171,469.0,115.0,44352.0,31988,0.88,0,40,7
석관동,-19.1082,2192.0,55.0,41705.0,36507,1.73,0,30,0
석촌동,-15.2512,4962.0,42.0,2144.0,34309,0.95,0,18,1
성내1동,-14.9771,1486.0,77.0,107506.0,20561,0.58,0,21,2
성내2동,-19.577,2193.0,45.0,44254.0,25186,0.67,1,18,1
성내3동,-18.3203,5908.0,75.0,76650.0,23921,0.71,1,15,1
성북동,-126.7945,604.0,120.0,44183.0,17584,2.86,1,47,1
성산1동,-17.6853,1468.0,20.0,26219.0,20164,0.8,0,27,0
성산2동,-18.0344,12889.0,132.0,139354.0,41531,2.07,2,40,0
성수1가1동,-13.1126,11337.0,86.0,98426.0,17168,1.98,1,32,1
성수1가2동,-12.2976,8363.0,52.0,63111.0,14735,0.89,1,12,1
성수2가1동,-10.8933,5613.0,29.0,56543.0,17722,1.18,0,31,1
성수2가3동,-12.9908,4901.0,60.0,117932.0,11682,1.03,1,19,2
성현동,-93.6938,2971.6132075471696,0.0,0.0,31175,0.68,0,29,0
세곡동,-35.4262,7628.0,109.0,48294.0,45064,6.36,0,65,0
소공동,-34.5482,2971.6132075471696,134.0,75679.0,3059,0.95,1,37,14
송정동,-13.7883,3501.0,42.0,46443.0,11428,0.75,0,16,0
송중동,-63.6602,3489.0,18.0,21819.0,31153,1.01,1,65,1
송천동,-36.4739,236.0,20.0,6568.0,28628,0.9,0,18,0
송파1동,-21.4248,4530.0,37.0,98197.0,26026,0.79,1,14,2
송파2동,-29.1611,4776.0,35.0,13929.0,20862,0.53,0,7,0
수궁동,-48.0821,4420.0,35.0,8233.0,24890,2.67,1,44,0
수색동,-53.9105,430.0,20.0,6773.0,8952,1.29,1,17,0
수서동,-23.8554,10439.0,50.0,30088.0,15934,1.43,1,17,2
수유1동,-93.00200000000001,2971.6132075471696,10.0,6598.0,21841,1.67,1,39,0
수유2동,-34.5127,1791.0,40.0,27988.0,21939,0.57,1,14,0
수유3동,-32.1465,4047.0,95.0,86742.0,24064,0.72,1,24,1
숭인1동,-29.3301,2971.6132075471696,10.0,28201.0,6532,0.23,1,12,0
숭인2동,-18.9664,2971.6132075471696,30.0,41281.0,9902,0.35,0,6,1
시흥1동,-24.3491,2022.0,90.0,25860.0,36706,1.71,1,43,2
시흥2동,-185.6773,2971.6132075471696,10.0,3299.0,22659,1.26,0,20,0
시흥3동,-75.9421,2971.6132075471696,50.0,6707.0,11524,1.07,0,16,0
시흥4동,-77.7288,2971.6132075471696,15.0,3528.0,22216,0.87,0,25,0
시흥5동,-111.349,2971.6132075471696,0.0,0.0,20872,1.39,0,34,0
신길1동,-16.2348,2258.0,20.0,29975.0,19750,0.66,1,25,0
신길3동,-18.8944,2971.6132075471696,20.0,21146.0,18727,0.52,0,25,1
신길4동,-28.7538,2971.6132075471696,0.0,0.0,9985,0.35,0,13,0
