동,경사도,자전거도로길이,총거치대수,총대여수,인구,면적,지하철역개수,버스정거장개수,스타벅스매장수,공시지가
시흥3동,-75.9421,2971.6132075471696,50.0,6707.0,11524,1.07,0,16,0,1176789
시흥4동,-77.7288,2971.6132075471696,15.0,3528.0,22216,0.87,0,25,0,1442612
시흥5동,-111.349,2971.6132075471696,0.0,0.0,20872,1.39,0,34,0,956887
신길1동,-16.2348,2258.0,20.0,29975.0,19750,0.66,1,25,0,2766972
신길3동,-18.8944,2971.6132075471696,20.0,21146.0,18727,0.52,0,25,1,3374969
신길4동,-28.7538,2971.6132075471696,0.0,0.0,9985,0.35,0,13,0,3306264
신길5동,-17.6147,250.0,40.0,18674.0,10670,0.47,0,22,0,2821590
신길6동,-21.5141,1305.0,50.0,52721.0,19434,0.68,1,23,0,3246085
신길7동,-27.0105,1344.0,72.0,54228.0,17075,0.64,1,29,0,3260618
신내1동,-54.9743,196.0,80.0,21788.0,40854,2.53,1,51,1,886196
신내2동,-42.1001,3730.0,85.0,59235.0,21905,0.99,0,20,0,720975
신당5동,-40.1969,2971.6132075471696,35.0,38730.0,10929,0.39,0,8,0,4308187
신당동,-23.068,2971.6132075471696,46.0,34449.0,9234,0.55,0,8,2,6403191
신대방1동,-22.4217,2842.0,40.0,23351.0,26599,0.62,0,15,0,2615703
신대방2동,-28.5638,715.0,20.0,27165.0,20719,1.03,0,28,1,2423580
신도림동,-9.3841,8003.0,85.0,113551.0,37188,1.47,2,36,3,2424842
신림동,-24.3306,2368.0,65.0,131003.0,22525,0.54,1,17,2,5820329
신사1동,-28.3552,2962.0,35.0,10448.0,28570,0.84,1,22,0,2056948
신사2동,-39.4853,1820.0,10.0,82.0,21875,1.0,1,30,0,1358848
신사동,-15.2641,5404.0,129.0,157322.0,25960,0.64,2,30,4,7175009
신사동,-15.2641,5404.0,129.0,157322.0,17546,1.89,2,30,4,7175009
신수동,-15.2285,986.0,90.0,85986.0,23877,0.78,0,24,0,3457523
신원동,-33.2124,1075.0,0.0,0.0,19742,0.55,0,10,0,2537858
신월1동,-11.064,2971.6132075471696,40.0,12337.0,21773,0.65,0,10,0,2465660
신월2동,-24.2376,1552.0,65.0,19784.0,22126,0.61,0,10,0,2929011
신월3동,-20.6407,2971.6132075471696,10.0,2719.0,16719,0.87,0,12,1,1383006
신월4동,-13.1944,376.0,19.0,11963.0,19026,0.52,0,10,0,2758720
신월5동,-22.5912,2971.6132075471696,50.0,42906.0,15570,0.69,0,13,0,1745175
신월6동,-29.5578,712.0,20.0,4990.0,6615,0.41,0,12,0,2376329
신월7동,-35.8836,2971.6132075471696,34.0,20450.0,21602,1.19,0,20,0,900714
신정1동,-9.0925,4026.0,20.0,25853.0,21627,0.7,1,27,0,2756565
신정2동,-7.835,5416.0,40.0,1020.0,20685,0.52,0,15,0,2673885
신정3동,-32.9565,9400.0,162.0,46077.0,48151,2.72,0,63,0,1210214
신정4동,-10.8433,2039.0,15.0,28856.0,35581,1.01,1,19,2,3371606
신정6동,-8.5779,7276.0,95.0,50162.0,25304,0.96,0,22,1,1807501
신정7동,-15.3246,3594.0,55.0,34976.0,30904,1.21,1,24,0,1603454
신촌동,-76.4549,2971.6132075471696,176.0,101670.0,24372,2.63,2,50,10,3538611
쌍문1동,-56.2902,2971.6132075471696,60.0,23147.0,22364,1.24,0,46,0,1349417
쌍문2동,-30.0264,2555.0,26.0,13021.0,20025,0.54,0,16,0,2343610
쌍문3동,-38.4616,1771.0,10.0,8015.0,17262,0.5,1,15,0,2709069
쌍문4동,-41.8865,17.0,35.0,11796.0,19811,0.52,0,19,0,1514993
아현동,-29.5315,2971.6132075471696,21.0,18357.0,25358,0.76,2,18,2,5379937
안암동,-43.3385,3404.0,71.0,120343.0,17502,1.33,1,32,2,1927842
암사1동,-27.1087,2466.0,15.0,12308.0,36693,1.02,0,16,0,3552695
암사2동,-11.5234,9927.0,46.0,45749.0,14774,1.18,1,6,0,839697
암사3동,-33.5697,3784.0,50.0,10176.0,18693,2.51,0,12,1,985243
압구정동,-15.7634,6466.0,34.0,25577.0,27712,2.53,2,19,5,9555676
약수동,-89.42,2971.6132075471696,34.0,9249.0,17734,0.48,1,12,0,1849143
양재1동,-53.3229,12990.0,240.0,119698.0,45940,5.76,0,73,2,2173826
양재2동,-98.4335,11635.0,135.0,82640.0,23161,7.58,1,48,1,1353202
양평1동,-8.8492,2278.0,60.0,53711.0,18263,0.88,1,22,0,3184262
양평2동,-7.2502,4540.0,60.0,97512.0,22802,3.0,1,28,2,1336533
여의동,-7.7843,23601.0,608.0,621964.0,34598,8.4,4,59,17,2517173
역삼1동,-37.8068,1807.0,158.0,77882.0,37002,2.35,3,50,18,14282371
역삼2동,-31.0122,3670.0,86.0,45970.0,37336,1.15,0,27,4,9724149
역촌동,-23.2868,2651.0,59.0,105790.0,48490,1.16,0,50,0,2798135
연남동,-15.9123,1777.0,25.0,32391.0,16953,0.64,0,22,0,5164461
연희동,-74.0317,2971.6132075471696,144.0,118304.0,41339,3.05,0,58,2,2134318
염리동,-44.7824,2971.6132075471696,0.0,0.0,13486,0.43,0,10,1,5151265
염창동,-9.7432,6686.0,53.0,62563.0,42579,1.74,2,36,1,2138435
영등포동,-10.5894,2971.6132075471696,156.0,163448.0,27166,1.26,1,46,8,6511919
영등포본동,-16.4519,2971.6132075471696,60.0,62297.0,24813,1.02,1,18,0,3132737
오금동,-26.8207,8006.0,131.0,77675.0,41067,1.65,2,29,1,4130681
오류1동,-29.3015,1699.0,10.0,10351.0,23295,0.59,1,13,1,2087802
오류2동,-36.9812,4333.0,407.0,53261.0,53500,4.6,1,89,0,798591
오륜동,-20.8259,11552.0,145.0,135940.0,18864,3.17,2,20,1,1179383
옥수동,-21.0855,8452.0,31.0,46736.0,27222,1.95,1,44,0,1085541
왕십리2동,-33.4305,2971.6132075471696,48.0,14149.0,17744,0.41,0,12,0,3407749
왕십리도선동,-21.8933,634.0,76.0,90143.0,27767,0.72,1,27,3,3851537
용강동,-11.324,5139.0,66.0,67587.0,22441,0.84,1,21,2,5100792
용답동,-12.0197,13200.0,93.0,46825.0,13290,2.32,1,10,0,2184026
용문동,-17.7389,2971.6132075471696,0.0,0.0,12587,0.28,0,17,0,5161849
용산2가동,-63.8429,5030.0,72.0,21537.0,11836,1.96,1,28,1,2346200
용신동,-16.8627,1164.0,190.0,192194.0,32144,1.61,2,37,1,4054114
우이동,-209.4446,390.0,62.0,24288.0,21391,10.28,3,39,0,214030
우장산동,-29.4457,2000.0,42.0,89819.0,44808,1.36,2,27,0,1871266
원효로1동,-14.9804,1629.0,36.0,11483.0,16630,0.59,0,23,1,5627583
원효로2동,-18.8211,3742.0,60.0,30888.0,14718,0.71,0,23,0,4292726
월계1동,-29.9065,2971.6132075471696,79.0,61101.0,23883,1.16,1,45,1,1679903
월계2동,-39.4355,2938.0,60.0,12632.0,27289,1.94,2,38,1,693428
월계3동,-17.2632,7039.0,20.0,14566.0,31593,1.17,1,29,2,1176402
월곡1동,-54.8635,2971.6132075471696,49.0,25635.0,27523,0.81,0,24,0,2168689
월곡2동,-50.5533,1272.0,85.0,68214.0,20509,1.36,2,32,1,1568223
위례동,-37.9739,2971.6132075471696,129.0,52414.0,28296,2.55,0,27,1,705998
은천동,-57.0405,2695.0,86.0,39437.0,35337,0.78,0,42,0,3528490
을지로동,-23.8676,2971.6132075471696,78.0,30720.0,2007,0.6,2,15,2,11438388
응봉동,-17.5644,3866.0,36.0,42756.0,16188,0.57,1,28,0,1437531
응암1동,-53.2423,2971.6132075471696,73.0,54284.0,25654,1.2,0,23,2,2483608
응암2동,-99.0505,2971.6132075471696,19.0,23792.0,25466,0.78,0,31,0,2564600
응암3동,-29.3219,2971.6132075471696,50.0,58521.0,26081,0.63,0,28,0,2962288
이문1동,-21.486,1359.0,46.0,28520.0,22311,1.04,1,25,2,2893779
이문2동,-15.9863,4171.0,40.0,17381.0,21174,0.69,1,12,0,1768276
이촌1동,-7.5694,12746.0,70.0,42604.0,29255,2.86,0,21,2,2340611
